Name,ID,Zip,County,Address,Latitude,Longitude
EcoWorx® PLATINUM Carpet Tile with 16oz. EcoSolution Q® Face,ec30hp9z,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
EcoWorx® PLATINUM Carpet Tile with EcoSolution Q® Face,ec30ye07,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
"Residential Broadloom Carpet with Nylon-6,6 Face Fiber",ec3b2dq5,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3b60sa,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Residential Broadloom Carpet with ClearTouch® Platinum Polyester Face Fiber,ec39jpsu,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
StrataWorx® Carpet Tile with Nylon-6 Face Fiber,ec3w011m,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Residential Broadloom Carpet with Polyester Face Fiber,ec33ypbq,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
StrataWorx® Carpet Tile with Polyester Face Fiber,ec3nbfey,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Residential Broadloom Carpet with Nylon-6 Face Fiber,ec3whhxt,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
40DAX412,ec3uj621,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
YTD 350 TH 3-1/2” ProTek® Thermally Broken Impact Resistant Architectural  Terrace Door,ec3bjsby,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Aluminum Sun Control Systems,ec35mp71,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
"GlasBac RE, Nylon 6 styles of modular carpet",ec3axfdt,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
"GlasBac, Nylon 66 styles of modular carpet",ec3ejzap,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
Achieve Sheet Flooring 13 mm,ec3ydxf8,30188,Cherokee,"108 Arnold Mill Road, Woodstock, GA 30188",34.10055,-84.51598
Infinity RE,ec3ff5f0,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
Integra HP Broadloom Carpet,ec3naeq8,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
20 oz Aquafil Econyl® Solution Dyed Nylon 6 with Milliken ES Underscore® Backing,ec3krd8f,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
28 oz Aquafil Econyl® Solution Dyed Nylon 6 with Milliken ES Underscore® Backing,ec3cpc7s,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
Achieve Sheet Flooring 18 mm,ec3ez866,30188,Cherokee,"108 Arnold Mill Road, Woodstock, GA 30188",34.10055,-84.51598
J+J Flooring Group LVT (5mm),ec345h1f,30721,Whitfield,"818 J & J Drive, Dalton, GA 30721",34.78665,-84.94676
"NexStep , Nylon 6 styles of modular carpet 509 g/m2",ec3qbqht,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 915 g/m2",ec36g9zx,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 949 g/m2",ec3m3f5m,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
S-P-08199 ENVIRONMENTAL PRODUCT DECLARATION for ECONYL® BCF AIR ENTANGLED YARNS (produced in the USA,ec329f67,30120,Bartow County,"1 Aquafil Dr, Cartersville, GA 30120, USA",34.1838122,-84.8078263
Mix  307 & 307-1,ec3yr60n,30324,Fulton,"740 Lambert Drive Northeast, Atlanta, GA 30324",33.81352,-84.36403
Tarkett Flex-Aire® Cushion modular 24 osy,ec3xxsh8,30721,Whitfield,"311 Smith Industrial Boulevard, Dalton, GA 30721",34.7972,-84.95996
Tarkett Flex-Aire® Cushion modular 32 osy,ec33afsq,30721,Whitfield,"311 Smith Industrial Boulevard, Dalton, GA 30721",34.7972,-84.95996
Tarkett Flex-Aire® Cushion modular 28 osy,ec31d9jy,30721,Whitfield,"311 Smith Industrial Boulevard, Dalton, GA 30721",34.7972,-84.95996
"Solution Dyed Nylon 6,6 with Milliken ESP Underscore® Backing - light weight",ec33j6y5,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
"Solution Dyed Nylon 6,6 with Milliken ESP Underscore® Backing - heavy weight",ec3be81y,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
"Digital Dyed Nylon Type 6,6 Broadloom - light weight",ec3ppkg0,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
"Digital Dyed Nylon Type 6,6 Broadloom - heavy weight",ec32rst3,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
Continuous Dyed Nylon Type 6 Broadloom - heavy weight,ec3xj65z,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
"Continuous Dyed Nylon Type 6,6 Broadloom - med weight",ec3qyymj,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
"Continuous Dyed Nylon Type 6,6 Broadloom - light weight",ec35ys5g,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
Continuous Dyed Nylon Type 6 Broadloom - light weight,ec3n119d,30240,Troup,"LaGrange, GA 30240",33.03384,-85.07785
Mix 50CAC0267,ec3rm3fz,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
